課,見出し,読み,アクセント,ローマ字,英訳,品詞,補足情報,サブ活動
16,セール,セール,セ↓ール,seeru,sale,N,,②家電量販店で
16,全品,ぜんぴん,ぜ↓んぴん,zenpin,all items,N,,②家電量販店で
16,値下価格,ねさげかかく,ねさげか↓かく,nesage-kakaku,discounted price,N,,④衣料品売り場で
16,～％引　（10％引）,～パーセントびき　（じゅっパーセントびき）,～パーセントびき○　（じゅっパーセントびき○）,～paasento-biki　(juppaasento-biki),～ % off　(e.g. 10% off),,接頭/接尾,②家電量販店で
16,半額,はんがく,はんがく○,hangaku,half price,N,,⑤スーパーの肉コーナーで
16,一人暮らし,ひとりぐらし,ひとりぐ↓らし,hitorigurashi,living alone,N,,②家電量販店で
16,表示価格より,ひょうじかかくより,ひょうじか↓かくより,hyooji-kakaku yori,from the list price,,,①スーパーの惣菜コーナーで
16,ポイントサービス,ポイントサービス,ポイントサ↓ービス,pointo-saabisu,reward points,N,,②家電量販店で
16,本日,ほんじつ,ほ↓んじつ,honjitsu,today,N,,③ケーキ屋で
16,レジにて,レジにて,レ↓ジに↓て,reji nite,at the cash register,,,⑤スーパーの肉コーナーで
16,若鶏,わかどり,わか↓どり,wakadori,spring chicken,N,,①スーパーの惣菜コーナーで
16,ワゴン,ワゴン,ワ↓ゴン,wagon,cart,N,,⑥古本屋で
16,～割引  （二割引き）,～わりびき　（にわりびき）,～わりびき○　（にわりびき○）,～waribiki　(ni-waribiki),～ × 10% off　(e.g. 20% off),,接頭/接尾,①スーパーの惣菜コーナーで
17,運動する／運動します,うんどうする／うんどうします,うんどうする○／うんどうしま↓す,undoo-suru / undoo-shimasu,to exercise,V［3］,,
17,オーケストラ,オーケストラ,オーケ↓ストラ,ookesutora,orchestra,N,,
17,買う／買います,かう／かいます,かう○／かいま↓す,kau / kaimasu,to buy,V［1］,,
17,家族,かぞく,か↓ぞく,kazoku,family,N,,
17,昨日,きのう,きのう○／きの↓う,kinoo,yesterday,N,,
17,コンサート,コンサート,コ↓ンサート,konsaato,concert,N,,
17,ジム,ジム,ジ↓ム,jimu,gym,N,,
17,週末,しゅうまつ,しゅうまつ○,shuumatsu,weekend,N,,
17,掃除する／掃除します,そうじする／そうじします,そうじする○／そうじしま↓す,sooji-suru / sooji-shimasu,to clean,V［3］,,
17,土日,どにち,どにち○,donichi,Saturday and Sunday,N,,
17,何も ,なにも,なにも○,nanimo,nothing,,副詞的表現,
17,ネットで,ネットで,ネットで○,netto de,online,,,
17,寝る／寝ます,ねる／ねます,ねる○／ねま↓す,neru / nemasu,to sleep,V［2］,,
17,飲みに行く／飲みに行きます,のみにいく／のみにいきます,の↓みにいく／の↓みにいきます,nomi ni iku / nomi ni ikimasu,to go drinking,V［1］,,
17,話す／話します,はなす／はなします,はな↓す／はなしま↓す,hanasu / hanashimasu,to talk,V［1］,,
17,服,ふく,ふく↓,fuku,clothing,N,,
17,休み,やすみ,やすみ↓,yasumi,day off,N,,
17,ゆっくりする／ゆっくりします,ゆっくりする／ゆっくりします,ゆっく↓りする／ゆっく↓りします,yukkuri-suru / yukkuri-shimasu,to relax,V［3］,,
17,いい,いい,い↓い,ii,good,イA,,
17,一日中,いちにちじゅう,いちにちじゅう○,ichinichijuu,all day long,N,,
17,いまいち（な）,いまいち（な）,いま↓いち（な）,imaichi (na),not so good,ナA,,
17,おもしろい,おもしろい,おもしろ↓い,omoshiroi,interesting,イA,,
17,国際フェスティバル,こくさいフェスティバル,こくさいフェ↓スティバル,kokusai-fesutibaru,international festival,N,,
17,ゴジラ,ゴジラ,ゴ↓ジラ,gojira,Godzilla,N,固有名詞,
17,すばらしい,すばらしい,すばらし↓い,subarashii,wonderful,イA,,
17,洗濯,せんたく,せんたく○,sentaku,laundry,N,,
17,掃除,そうじ,そうじ○,sooji,cleaning,N,,
17,大変（な）,たいへん（な）,たいへん（な）○,taihen (na),awful / tough,ナA,,
17,楽しい,たのしい,たのし↓い,tanoshii,fun,イA,,
17,つまらない,つまらない,つまら↓ない,tsumaranai,boring,イA,,
17,どこにも,どこにも,どこにも○,dokonimo,nowhere,,,
17,勉強,べんきょう,べんきょう○,benkyoo,study,N,,
17,まあまあ（な）,まあまあ（な）,まあま↓あ（な）,maamaa (na),average,ナA,,
17,よかった（です）,よかった（です）,よ↓かった（です）,yokatta (desu),It was good.,Exp,,
17,おいしい,おいしい,おいしい○／おいし↓い,oishii,delicious,イA,,④
17,お祝い,おいわい,おいわい○,oiwai,celebration,N,,④
17,多い,おおい,おお↓い,ooi,many,イA,,③
17,家族で,かぞくで,か↓ぞくで,kazoku de,with family,,,①
17,気持ちいい,きもちいい,きもちい↓い,kimochi-ii,refreshing,イA,,②
17,クラゲ,クラゲ,クラゲ○,kurage,jellyfish,N,,①
17,元気（な）,げんき（な）,げ↓んき（な）,genki (na),healthy,ナA,,④
17,コスモス,コスモス,コ↓スモス,kosumosu,cosmos,N,,②
17,水族館,すいぞくかん,すいぞく↓かん,suizokukan,aquarium,N,,①
17,寿司屋,すしや,すし↓や,sushiya,sushi restaurant,N,,④
17,そして,そして,そして○,soshite,then,,接続表現,①
17,花,はな,はな↓,hana,flower,N,,②
17,二人で,ふたりで,ふたり↓で,futari de,two people,,,④
17,ペンギン,ペンギン,ペンギン○,pengin,penguin,N,,①
17,まだまだ,まだまだ,ま↓だまだ,mada mada,still,,副詞的表現,④
17,気持ちよかった（です）,きもちよかった（です）,きもちよ↓かった（です）,kimochi-yokatta (desu),It was refreshing.,Exp,,②
17,いつでも,いつでも,いつでも○／い↓つでも,itsudemo,anytime,N,,④マンガ喫茶
17,一般,いっぱん,いっぱん○,ippan,general,N,,①水族館
17,営業時間,えいぎょうじかん,えいぎょうじ↓かん,eegyoo-jikan,opening hours,N,,②温泉の共同浴場
17,延長料金,えんちょうりょうきん,えんちょうりょ↓うきん,enchoo-ryookin,extension fee,N,,④マンガ喫茶
17,大人,おとな／だいにん,おとな○／だいにん○,otona / dainin,adult,N,,①水族館
17,お1人様,おひとりさま,おひとりさま○,ohitorisama,one person (polite expression),N,,③焼肉屋
17,鍵付き,かぎつき,かぎつき○,kagi-tsuki,with key,N,,④マンガ喫茶
17,完全（な）,かんぜん（な）,かんぜん（な）○,kanzen (na),completely,ナA,,④マンガ喫茶
17,基本料金,きほんりょうきん,きほんりょ↓うきん,kihon-ryookin,basic fee,N,,④マンガ喫茶
17,休業日,きゅうぎょうび,きゅうぎょ↓うび,kyuugyoobi,days closed,N,,②温泉の共同浴場
17,高校生,こうこうせい,こうこ↓うせい,kookoosee,high school student,N,,①水族館
17,個室,こしつ,こしつ○,koshitsu,private room,N,,④マンガ喫茶
17,古総湯,こそうゆ,こそ↓うゆ,Kosooyu,"Kosoyu public bathhouse (a communal bathhouse at Yamashiro Onsen, Ishikawa Prefecture)",N,固有名詞,②温泉の共同浴場
17,～毎に　（10分毎に）,～ごとに　（じゅっぷんごとに）,～ご↓とに　（じゅっぷんご↓とに）,～goto ni  (juppun-goto ni),per ～　(e.g. per 10 minutes),,接頭/接尾,④マンガ喫茶
17,～歳以上　（十二歳以上）,～さいいじょう　（じゅうにさいいじょう）,～さいい↓じょう　（じゅうにさいい↓じょう）,～sai-ijoo　(juuni-sai-ijoo),aged ～ or above　(e.g. aged 12 or above),,接頭/接尾,②温泉の共同浴場
17,正午,しょうご,しょ↓うご,shoogo,noon,N,,②温泉の共同浴場
17,小・中学生,しょうちゅうがくせい,しょうちゅうが↓くせい,shoo-chuugakusee,elementary & junior high school student,N,,①水族館
17,小人,しょうにん,しょうにん○,shoonin,child,N,,①水族館
17,全品,ぜんぴん,ぜ↓んぴん,zenpin,all items,N,,③焼肉屋
17,第～▲曜日　（第四水曜日）,だい～▲ようび　（だいよんすいようび）,だい～▲よ↓うび　（だいよんすいよ↓うび）,dai～▲yoobi　(dai-yon-suiyoobi),～ (day of the week) of the month　(e.g. fourth Wednesday of the month),N,,②温泉の共同浴場
17,大学生,だいがくせい,だいが↓くせい,daigakusee,university student,N,,①水族館
17,食べ放題,たべほうだい,たべほ↓うだい,tabe-hoodai,all you can eat,N,,③焼肉屋
17,チケット,チケット,チ↓ケット／チケ↓ット,chiketto,ticket,N,,①水族館
17,中人,ちゅうにん,ちゅうにん○,chuunin,student,N,,①水族館
17,～付き  （飲み放題付き）,～つき　（のみほうだいつき）,～つき○　（のみほうだいつき○）,～tsuki　（nomi-hoodai-tsuki）,with ～　(e.g. with all-you-can-drink),,接頭/接尾,③焼肉屋
17,ナイト,ナイト,ナ↓イト,naito,night,N,,④マンガ喫茶
17,入館券,にゅうかんけん,にゅうか↓んけん,nyuukanken,admission ticket,N,,①水族館
17,入浴,にゅうよく,にゅうよく○,nyuuyoku,bathing,N,,②温泉の共同浴場
17,飲み放題,のみほうだい,のみほ↓うだい,nomi-hoodai,all you can drink,N,,③焼肉屋
17,パック,パック,パ↓ック,pakku,package,N,,④マンガ喫茶
17,発売中,はつばいちゅう,はつばいちゅう○,hatsubaichuu,in operation,N,,①水族館
17,ブース,ブース,ブ↓ース／ブース○,buusu,booth,N,,④マンガ喫茶
17,席,せき,せ↓き,seki,seat,N,,④マンガ喫茶
17,プラス,プラス,プラス○,purasu,plus,N,,③焼肉屋
17,毎月,まいつき,まいつき○,maitsuki,every month,N,,②温泉の共同浴場
17,～名様より 　（2名様より）,～めいさまより　（にめいさまより）,～めいさまよ↓り　（に↓めいさまよ↓り）,～mee-sama yori　（ni-mee-sama yori),～ persons or more (polite expression) (e.g. 2 persons or more),,接頭/接尾,③焼肉屋
17,料金,りょうきん,りょ↓うきん,ryookin,fee,N,,②温泉の共同浴場
17,料金システム,りょうきんシステム,りょうきんシ↓ステム,ryookin-shisutemu,pricing system,N,,④マンガ喫茶
17,つり銭のお取り忘れに注意！,つりせんのおとりわすれにちゅうい！,つりせんのおとりわすれに　ちゅ↓うい！,tsurisen no otoriwasure ni chuui !,Please remember to take your change!,Exp,,①水族館
17,着く／着きます,つく／つきます,つ↓く／つきま↓す,tsuku / tsukimasu,to arrive,V［1］,,
17,はじめて,はじめて,はじ↓めて,hajimete,for the first time,,副詞的表現,
17,また,また,また○,mata,again,,副詞的表現,
17,着きました,つきました,つきま↓した,tsukimashita,I have arrived home.,Exp,,
18,会う／会います,あう／あいます,あ↓う／あいま↓す,au / aimasu,to meet,V［1］,,
18,行く／行きます,いく／いきます,いく○／いきま↓す,iku / ikimasu,to go,V［1］,,
18,池袋,いけぶくろ,いけぶ↓くろ,ikebukuro,Ikebukuro,N,地域・都市,
18,うち,うち,うち○,uchi,home,N,,
18,買う／買います,かう／かいます,かう○／かいま↓す,kau / kaimasu,to buy,V［1］,,
18,ゴールデンウィーク,ゴールデンウィーク,ゴールデンウィ↓ーク,gooruden-wiiku,Golden Week,N,,
18,炊飯器,すいはんき,すいは↓んき,suihanki,rice-cooker,N,,
18,どこか,どこか,ど↓こか,dokoka,somewhere,N,,
18,友だち,ともだち,ともだち○,tomodachi,friend,N,,
18,夏休み,なつやすみ,なつや↓すみ,natsuyasumi,summer vacation,N,,
18,広島,ひろしま,ひろしま○,hiroshima,Hiroshima,N,地域・都市,
18,もうすぐ,もうすぐ,もうす↓ぐ,moosugu,soon / almost,,副詞的表現,
18,予定,よてい,よてい○,yotee,plans,N,,
18,旅行する／旅行します,りょこうする／りょこうします,りょこうする○／りょこうしま↓す,ryokoo-suru / ryokoo-shimasu,to travel,V［3］,,
18,連休,れんきゅう,れんきゅう○,renkyuu,holiday period,N,,
18,あと,あと,あ↓と,ato,and / also,,接続表現,
18,お土産,おみやげ,おみやげ○,omiyage,souvenir,N,,
18,温泉,おんせん,おんせん○,onsen,hot spring,N,,
18,君の名は。,きみのなは,きみのなは↓,kimi no na wa,"Kimi no Na wa (""Your Name"")",N,固有名詞,
18,京都,きょうと,きょ↓うと,kyooto,Kyoto,N,地域・都市,
18,新幹線,しんかんせん,しんか↓んせん,shinkansen,Shinkansen (bullet train),N,,
18,神社,じんじゃ,じ↓んじゃ,jinja,shrine,N,,
18,新宿,しんじゅく,しんじゅく○,shinjuku,Shinjuku,N,地域・都市,
18,須賀神社,すがじんじゃ,すがじ↓んじゃ,suga-jinja,Suga Shrine,N,固有名詞,
18,ぜひ,ぜひ,ぜ↓ひ,zehi,definitely,,副詞的表現,
18,食べる／食べます,たべる／たべます,たべ↓る／たべま↓す,taberu / tabemasu,to eat,V［2］,,
18,ディズニーランド,ディズニーランド,ディズニーラ↓ンド,dizunii-rando,Disneyland,N,固有名詞,
18,どうして,どうして,ど↓うして,dooshite,why, ,疑問表現,
18,ドラえもん,ドラえもん,ドラえもん○,doraemon,Doraemon,N,固有名詞,
18,どら焼き,どらやき,どらやき○,dorayaki,dorayaki (cake with sweet bean paste),N,,
18,登る／登ります,のぼる／のぼります,のぼる○／のぼりま↓す,noboru / noborimasu,to climb,V［1］,,
18,入る／入ります,はいる／はいります,は↓いる／はいりま↓す,hairu / hairimasu,to enter,V［1］,,
18,富士山,ふじさん,ふ↓じさん,fujisan,Mt. Fuji,N,固有名詞,
18,ほかに,ほかに,ほかに○,hoka ni,besides that,,副詞的表現,
18,見る／見ます,みる／みます,み↓る／みま↓す,miru / mimasu,to watch,V［2］,,
18,雪,ゆき,ゆき↓,yuki,snow,N,,
18,行って,いって,いって○,itte,You should go.,Exp,,
18,アクティビティ,アクティビティ,アクティ↓ビティ,akutibiti,activity,N,,
18,気分,きぶん,き↓ぶん,kibun,feeling,N,,
18,写真,しゃしん,しゃしん○,shashin,photograph,N,,
18,チェックイン,チェックイン,チェックイ↓ン,chekku-in,check-in,N,,
18,動画,どうが,どうが○,dooga,video,N,,
18,友達をタグ付け,ともだちをタグづけ,ともだちをタグづけ○,tomodachi o tagu-zuke,tagging a friend,,,
18,景色,けしき,け↓しき,keshiki,scenery,N,,
18,それから,それから,それから○,sorekara,and then,,接続表現,
18,それに,それに,それに○,soreni,besides / in addition,,接続表現,
18,でも,でも,で↓も,demo,but,,接続表現,
18,鶏,とり,とり○,tori,chicken,N,,
18,別府温泉,べっぷおんせん,べっぷお↓んせん,beppu-onsen,Beppu Onsen (hot spring area),N,固有名詞,
18,露天風呂,ろてんぶろ,ろてんぶ↓ろ／ろてんぶろ○,roten-buro,open-air bath,N,,
18,それは、よかったですね,それは、よかったですね,それ○は、よ↓かったですね,"sore wa, yokatta desu ne",That sounds good.,Exp,,
